DATE,PRED_CLOSING_INDEX,CLOSING_INDEX,INVERSE_COLSING,INVERSE_PRED_COLSING
2022-04-01,0.13308978770766355,0.16071651882289667,17625.59,17610.541327419156
2022-04-02,0.09778204940178864,0.06608891311982916,17574.045,17591.308701194972
2022-04-03,0.14968604824668402,0.018775110268298752,17548.2725,17619.581546107223
2022-04-04,-0.06786391774498027,-0.004881791157466451,17535.38625,17501.07899165997
2022-04-05,-0.08285509085118509,-0.01671024187035239,17528.943124999998,17492.913086879667
2022-04-06,0.17334051672234022,-0.028538692583231655,17522.5,17632.466470844764
2022-04-07,-0.10575258994025334,-0.6598238758815638,17178.63,17480.44049411166
2022-04-08,-0.687852884401434,-0.4653916376429083,17284.54,17163.3622012068
2022-04-09,-0.41360197818762684,-0.6821750466922095,17166.455,17312.750562623758
2022-04-10,-0.7825144770805352,-0.7905667512168668,17107.4125,17111.79868801853
2022-04-11,-0.8788186174830058,-0.8989584557415174,17048.37,17059.34045577051
2022-04-12,-0.9744372054022048,-1.0044449670170628,16990.91,17007.255653691074
2022-04-13,-0.8214636984428609,-0.4339806698753367,17301.65,17090.58249428516
2022-04-14,-0.3315523667227313,-0.5367868764787237,17245.65,17357.44415062628
2022-04-15,-0.7183474280775154,-0.980083567702295,17004.18,17146.75139041744
2022-04-16,-0.9824844479407442,-1.0767489392862455,16951.525,17002.87220645528
2022-04-17,-1.0041914537129157,-1.1250816250782207,16925.197500000002,16991.048092295216
2022-04-18,-1.2232542308524859,-1.1734143108702026,16898.87,16871.72148814239
2022-04-19,-1.1738094808036972,-0.9998737624734448,16993.4,16898.65474532806
2022-04-20,-0.8192204132684325,-0.7144396731396132,17148.88,17091.80444356156
2022-04-21,-0.6389217163793822,-0.7528634928576295,17127.95,17190.015702972563
2022-04-22,-0.8989030776897328,-0.9416964644866377,17025.09,17048.40016521086
2022-04-23,-0.9652200432720562,-1.3127075416921956,16822.995000000003,17012.27637273462
2022-04-24,-1.1974791232312403,-1.498213080294978,16721.947500000002,16885.761555123543
2022-04-25,-1.5978423681436023,-1.6837186188977604,16620.9,16667.67801273989
2022-04-26,-1.8044594836014065,-1.6398607568307095,16644.79,16555.130737162697
2022-04-27,-1.3985816224042207,-2.2666848850925048,16303.35,16776.218169312866
2022-04-28,-2.216584258442356,-2.0536740966605214,16419.38,16330.640522480147
2022-04-29,-2.2706007196506865,-1.7364435162843568,16592.18,16301.21698933359
